"STATION","NAME","DATE","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-10",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-13",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-16",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-17",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-22","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-23","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-24","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-25",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-26","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-28",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-29",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-04",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-05","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-06","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-07","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-08","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-09","    1",,,"    1"
